GB_chromosome_id	strain_name	length	number_of_CDs	chromosome	species	GB_assembly_ID	
CP003330.1	Vibrio cholerae IEC224 chromosome I, complete sequence	3007450	5524	1	cholerae	GCA_000250855.1_ASM25085v1
CP003331.1	Vibrio cholerae IEC224 chromosome II, complete sequence	1072136	2069	2	cholerae	GCA_000250855.1_ASM25085v1
CP012950.1	Vibrio parahaemolyticus strain FORC_023 chromosome 1, complete sequence	3253462	5951	1	parahaemolyticus	GCA_001758605.1_ASM175860v1
CP012951.1	Vibrio parahaemolyticus strain FORC_023 chromosome 2, complete sequence	1761752	3067	2	parahaemolyticus	GCA_001758605.1_ASM175860v1
CP014094.1	Vibrio diabolicus strain FDAARGOS_96 chromosome 1, complete sequence	3274995	6557	1	diabolicus	GCA_002953335.1_ASM295333v1
CP014095.1	Vibrio diabolicus strain FDAARGOS_96 chromosome 2, complete sequence	1773503	3273	2	diabolicus	GCA_002953335.1_ASM295333v1
CP014093.1	Vibrio diabolicus strain FDAARGOS_96 plasmid unnamed, complete sequence	125123	291	p	diabolicus	GCA_002953335.1_ASM295333v1
CP031055.1	Vibrio splendidus strain BST398 chromosome 1, complete sequence	3521946	1	1	splendidus	GCA_003345295.1_ASM334529v1
CP031056.1	Vibrio splendidus strain BST398 chromosome 2, complete sequence	1986441	1	2	splendidus	GCA_003345295.1_ASM334529v1
CP033515.1	Vibrio cholerae strain E4 chromosome 1, complete sequence	3075249	5797	1	cholerae	GCA_003719755.1_ASM371975v1
CP033513.1	Vibrio cholerae strain E4 chromosome 2, complete sequence	1046445	2127	2	cholerae	GCA_003719755.1_ASM371975v1
CP033514.1	Vibrio cholerae strain E4 plasmid pVCR94, complete sequence	171829	463	p	cholerae	GCA_003719755.1_ASM371975v1
AE016795.3	Vibrio vulnificus CMCP6 chromosome I, complete sequence	3281866	6039	1	vulnificus	GCA_000039765.1_ASM3976v1
AE016796.2	Vibrio vulnificus CMCP6 chromosome II, complete sequence	1844830	3107	2	vulnificus	GCA_000039765.1_ASM3976v1
CP012739.1	Vibrio vulnificus strain FORC_017 chromosome 1, complete sequence	3253417	6153	1	vulnificus	GCA_001675245.1_ASM167524v1
CP012740.1	Vibrio vulnificus strain FORC_017 chromosome 2, complete sequence	1905745	3309	2	vulnificus	GCA_001675245.1_ASM167524v1
CP012741.1	Vibrio vulnificus strain FORC_017 plasmid, complete sequence	70069	169	p	vulnificus	GCA_001675245.1_ASM167524v1
FO203526.1	Vibrio nigripulchritudo str. SFn1 chromosome 1, complete genome	4109740	7523	1	nigripulchritudo	GCA_000801275.1_ASM80127v1
FO203527.1	Vibrio nigripulchritudo str. SFn1 chromosome 2, complete genome	2212415	4093	2	nigripulchritudo	GCA_000801275.1_ASM80127v1
CP000626.1	Vibrio cholerae O395 chromosome 2, complete sequence	1108250	2275	2	cholerae	GCA_000016245.1_ASM1624v1
CP000627.1	Vibrio cholerae O395 chromosome 1, complete sequence	3024069	5720	1	cholerae	GCA_000016245.1_ASM1624v1
CP006605.1	Vibrio campbellii ATCC BAA-1116 chromosome I, complete sequence	3746887	6931	1	campbellii	GCA_000464435.1_ASM46443v1
CP006606.1	Vibrio campbellii ATCC BAA-1116 chromosome II, complete sequence	2195939	4098	2	campbellii	GCA_000464435.1_ASM46443v1
CP006607.1	Vibrio campbellii ATCC BAA-1116 plasmid, complete sequence	89003	203	p	campbellii	GCA_000464435.1_ASM46443v1
CP016307.1	Vibrio scophthalmi strain VS-12 chromosome 1, complete sequence	3266565	6037	1	scophthalmi	GCA_001685465.1_ASM168546v1
CP016308.1	Vibrio scophthalmi strain VS-12 chromosome 2, complete sequence	1463510	2709	2	scophthalmi	GCA_001685465.1_ASM168546v1
CP016309.1	Vibrio scophthalmi strain VS-12 plasmid pVS127, complete sequence	127447	315	p	scophthalmi	GCA_001685465.1_ASM168546v1
CP016311.1	Vibrio scophthalmi strain VS-12 plasmid pVS14, complete sequence	14572	37	p	scophthalmi	GCA_001685465.1_ASM168546v1
CP016310.1	Vibrio scophthalmi strain VS-12 plasmid pVS53, complete sequence	53982	121	p	scophthalmi	GCA_001685465.1_ASM168546v1
CP006008.1	Vibrio parahaemolyticus O1:K33 str. CDC_K4557 chromosome I, complete sequence	3331580	6255	1	parahaemolyticus	GCA_000430425.1_ASM43042v1
CP006007.1	Vibrio parahaemolyticus O1:K33 str. CDC_K4557 chromosome II, complete sequence	1806995	3261	2	parahaemolyticus	GCA_000430425.1_ASM43042v1
CP028141.1	Vibrio parahaemolyticus strain R14 chromosome 1, complete sequence	3477001	6927	1	parahaemolyticus	GCA_003076895.1_ASM307689v1
CP028142.1	Vibrio parahaemolyticus strain R14 chromosome 2, complete sequence	1818040	3427	2	parahaemolyticus	GCA_003076895.1_ASM307689v1
CP028143.1	Vibrio parahaemolyticus strain R14 plasmid pVpR14_20Kb, complete sequence	19217	47	p	parahaemolyticus	GCA_003076895.1_ASM307689v1
CP028144.1	Vibrio parahaemolyticus strain R14 plasmid pVpR14_56Kb, complete sequence	55421	121	p	parahaemolyticus	GCA_003076895.1_ASM307689v1
CP028145.1	Vibrio parahaemolyticus strain R14 plasmid pVpR14_74Kb, complete sequence	74457	169	p	parahaemolyticus	GCA_003076895.1_ASM307689v1
CP017902.1	Vibrio alginolyticus strain K05K4 chromosome 1, complete sequence	3473579	6451	1	alginolyticus	GCA_003613065.1_ASM361306v1
CP017903.1	Vibrio alginolyticus strain K05K4 chromosome 2, complete sequence	1875554	3343	2	alginolyticus	GCA_003613065.1_ASM361306v1
CP017904.1	Vibrio alginolyticus strain K05K4 plasmid pL289, complete sequence	289065	634	p	alginolyticus	GCA_003613065.1_ASM361306v1
CP020534.1	Vibrio anguillarum strain 425 chromosome 1, complete sequence	3164924	5920	1	anguillarum	GCA_003031205.1_ASM303120v1
CP020533.1	Vibrio anguillarum strain 425 chromosome 2, complete sequence	1141928	2062	2	anguillarum	GCA_003031205.1_ASM303120v1
CP020532.1	Vibrio anguillarum strain 425 plasmid pEIB1, complete sequence	66521	123	p	anguillarum	GCA_003031205.1_ASM303120v1
CP028892.1	Vibrio cholerae strain Sa5Y chromosome 1, complete sequence	2955400	5416	1	cholerae	GCA_003063885.1_ASM306388v1
CP028893.1	Vibrio cholerae strain Sa5Y chromosome 2, complete sequence	1095478	2001	2	cholerae	GCA_003063885.1_ASM306388v1
CP017916.1	Vibrio alginolyticus strain K08M4 chromosome 1, complete sequence	3298328	5968	1	sp.	GCA_002119525.1_ASM211952v1
CP017917.1	Vibrio alginolyticus strain K08M4 chromosome 2, complete sequence	1587964	2733	2	sp.	GCA_002119525.1_ASM211952v1
CP006699.1	Vibrio anguillarum M3 chromosome 1, complete sequence	3063587	5716	1	anguillarum	GCA_000462975.1_ASM46297v1
CP006700.1	Vibrio anguillarum M3 chromosome 2, complete sequence	988134	1835	2	anguillarum	GCA_000462975.1_ASM46297v1
CP006701.1	Vibrio anguillarum M3 plasmid unnamed, complete sequence	66164	120	p	anguillarum	GCA_000462975.1_ASM46297v1
CP039700.1	Vibrio cyclitrophicus strain ECSMB14105 chromosome 1, complete sequence	3336445	6069	1	cyclitrophicus	GCA_005144905.1_ASM514490v1
CP039701.1	Vibrio cyclitrophicus strain ECSMB14105 chromosome 2, complete sequence	1737956	3042	2	cyclitrophicus	GCA_005144905.1_ASM514490v1
CP016383.1	Vibrio mimicus strain SCCF01 chromosome 1, complete sequence	3213040	6039	1	mimicus	GCA_001767355.1_ASM176735v1
CP016384.1	Vibrio mimicus strain SCCF01 chromosome 2, complete sequence	1270975	2291	2	mimicus	GCA_001767355.1_ASM176735v1
CP017913.1	Vibrio alginolyticus strain K08M3 chromosome I, complete sequence	3468139	6439	1	alginolyticus	GCA_002149085.1_ASM214908v1
CP017914.1	Vibrio alginolyticus strain K08M3 chromosome II, complete sequence	1886577	3354	2	alginolyticus	GCA_002149085.1_ASM214908v1
CP017915.1	Vibrio alginolyticus strain K08M3 plasmid pL300, complete sequence	300425	663	p	alginolyticus	GCA_002149085.1_ASM214908v1
FM954972.2	Vibrio splendidus LGP32 chromosome 1	3299303	6179	1	splendidus	GCA_000091465.1_ASM9146v1
FM954973.2	Vibrio splendidus LGP32 chromosome 2	1675515	3027	2	splendidus	GCA_000091465.1_ASM9146v1
CP014053.1	Vibrio alginolyticus strain ARGOS_108 chromosome 1, complete sequence	3418310	6655	1	alginolyticus	GCA_002953515.1_ASM295351v1
CP014054.1	Vibrio alginolyticus strain ARGOS_108 chromosome 2, complete sequence	1810594	3307	2	alginolyticus	GCA_002953515.1_ASM295351v1
CP014052.1	Vibrio alginolyticus strain ARGOS_108 plasmid unnamed1, complete sequence	217123	489	p	alginolyticus	GCA_002953515.1_ASM295351v1
AE003852.1	Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete sequence	2961149	5743	1	cholerae	GCA_000006745.1_ASM674v1
AE003853.1	Vibrio cholerae O1 biovar eltor str. N16961 chromosome II, complete sequence	1072315	2216	2	cholerae	GCA_000006745.1_ASM674v1
CP024162.1	Vibrio cholerae strain E7946 chromosome 1, complete sequence	2992571	5629	1	cholerae	GCA_002749635.1_ASM274963v1
CP024163.1	Vibrio cholerae strain E7946 chromosome 2, complete sequence	1070502	2237	2	cholerae	GCA_002749635.1_ASM274963v1
CP002469.1	Vibrio vulnificus MO6-24/O chromosome I, complete sequence	3194232	6211	1	vulnificus	GCA_000186585.1_ASM18658v1
CP002470.1	Vibrio vulnificus MO6-24/O chromosome II, complete sequence	1813536	3193	2	vulnificus	GCA_000186585.1_ASM18658v1
LT992486.1	Vibrio cholerae strain 4295STDY6534216 genome assembly, chromosome 1	3041944	5543	1	cholerae	GCA_900324445.1_48853_G01
LT992487.1	Vibrio cholerae strain 4295STDY6534216 genome assembly, chromosome 2	1050697	1893	2	cholerae	GCA_900324445.1_48853_G01
CP028481.1	Vibrio parahaemolyticus strain S107-1 chromosome 1, complete sequence	3445421	7065	1	parahaemolyticus	GCA_003047085.1_ASM304708v1
CP028482.1	Vibrio parahaemolyticus strain S107-1 chromosome 2, complete sequence	1757905	3317	2	parahaemolyticus	GCA_003047085.1_ASM304708v1
CP017911.1	Vibrio alginolyticus strain K10K4 chromosome 1, complete sequence	3494647	6474	1	alginolyticus	GCA_002119585.1_ASM211958v1
CP017912.1	Vibrio alginolyticus strain K10K4 chromosome 2, complete sequence	1894531	3369	2	alginolyticus	GCA_002119585.1_ASM211958v1
AP014524.1	Vibrio cholerae MS6 DNA, complete genome, chromosome 1	2936971	5421	1	cholerae	GCA_000829215.1_ASM82921v1
AP014525.1	Vibrio cholerae MS6 DNA, complete genome, chromosome 2	1093973	2305	2	cholerae	GCA_000829215.1_ASM82921v1
AP019798.1	Vibrio rotiferianus AM7 DNA, chromosome 1, complete genome	3515444	6439	1	rotiferianus	GCA_007182835.1_ASM718283v1
AP019799.1	Vibrio rotiferianus AM7 DNA, chromosome 2, complete genome	2016094	3647	2	rotiferianus	GCA_007182835.1_ASM718283v1
AP019800.1	Vibrio rotiferianus AM7 plasmid pAM7 DNA, complete genome	243273	505	p	rotiferianus	GCA_007182835.1_ASM718283v1
CP021145.1	Vibrio campbellii strain LA16-V1 chromosome I, complete sequence	3579637	6705	1	campbellii	GCA_002142655.1_ASM214265v1
CP021146.1	Vibrio campbellii strain LA16-V1 chromosome II, complete sequence	2230177	4008	2	campbellii	GCA_002142655.1_ASM214265v1
CP021147.1	Vibrio campbellii strain LA16-V1 plasmid pLA16-1, complete sequence	109793	233	p	campbellii	GCA_002142655.1_ASM214265v1
CP021148.1	Vibrio campbellii strain LA16-V1 plasmid pLA16-2, complete sequence	73461	169	p	campbellii	GCA_002142655.1_ASM214265v1
CP021149.1	Vibrio campbellii strain LA16-V1 plasmid pLA16-3, complete sequence	67308	129	p	campbellii	GCA_002142655.1_ASM214265v1
CP021150.1	Vibrio campbellii strain LA16-V1 plasmid pLA16-4, complete sequence	63992	143	p	campbellii	GCA_002142655.1_ASM214265v1
CP033137.1	Vibrio owensii strain 1700302 chromosome 1, complete sequence	3729578	7070	1	owensii	GCA_003691505.1_ASM369150v1
CP033138.1	Vibrio owensii strain 1700302 chromosome 2, complete sequence	2507977	4556	2	owensii	GCA_003691505.1_ASM369150v1
CP033139.1	Vibrio owensii strain 1700302 plasmid pVOWZ1, complete sequence	117926	253	p	owensii	GCA_003691505.1_ASM369150v1
CP033140.1	Vibrio owensii strain 1700302 plasmid pVOWZ2, complete sequence	68834	161	p	owensii	GCA_003691505.1_ASM369150v1
CP020427.2	Vibrio parahaemolyticus strain FDAARGOS_191 chromosome 1, complete sequence	3295711	6645	1	parahaemolyticus	GCA_002073775.2_ASM207377v2
CP020428.2	Vibrio parahaemolyticus strain FDAARGOS_191 chromosome 2, complete sequence	1877581	3627	2	parahaemolyticus	GCA_002073775.2_ASM207377v2
CP016224.1	Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	3535128	6491	1	alginolyticus	GCA_001679745.1_ASM167974v1
CP016225.1	Vibrio alginolyticus strain ZJ-T chromosome 2, complete sequence	1870966	3253	2	alginolyticus	GCA_001679745.1_ASM167974v1
CP014034.2	Vibrio fluvialis strain ATCC 33809 chromosome 1, complete sequence	1671895	3127	2	fluvialis	GCA_001558415.2_ASM155841v2
CP014035.2	Vibrio fluvialis strain ATCC 33809 chromosome 2, complete sequence	3155838	5975	1	fluvialis	GCA_001558415.2_ASM155841v2
CP020453.1	Vibrio coralliilyticus strain SNUTY-1 chromosome I, complete sequence	3474874	6726	1	coralliilyticus	GCA_002073995.1_ASM207399v1
CP020454.1	Vibrio coralliilyticus strain SNUTY-1 chromosome II, complete sequence	1976676	3568	2	coralliilyticus	GCA_002073995.1_ASM207399v1
CP020455.1	Vibrio coralliilyticus strain SNUTY-1 plasmid pSNUTY1, complete sequence	254703	509	p	coralliilyticus	GCA_002073995.1_ASM207399v1
CP020456.1	Vibrio coralliilyticus strain SNUTY-1 plasmid pSNUTY2, complete sequence	136423	265	p	coralliilyticus	GCA_002073995.1_ASM207399v1
CP011460.1	Vibrio anguillarum strain 90-11-286 chromosome I, complete sequence	3048854	5488	1	anguillarum	GCA_001660505.1_ASM166050v1
CP011461.1	Vibrio anguillarum strain 90-11-286 chromosome II, complete sequence	1293370	2286	2	anguillarum	GCA_001660505.1_ASM166050v1
LT897797.1	Vibrio cholerae isolate Vibrio cholerae str. BC1071 genome assembly, chromosome 1	2976768	5664	1	cholerae	GCA_900185995.1_BK1071
LT897798.1	Vibrio cholerae isolate Vibrio cholerae str. BC1071 genome assembly, chromosome 2	1217808	2427	2	cholerae	GCA_900185995.1_BK1071
CP013013.1	Vibrio cholerae strain Env-390 chromosome 1, complete sequence	1125906	2119	2	cholerae	GCA_001854425.1_ASM185442v1
CP013014.1	Vibrio cholerae strain Env-390 chromosome 2, complete sequence	2925021	5327	1	cholerae	GCA_001854425.1_ASM185442v1
BA000031.2	Vibrio parahaemolyticus RIMD 2210633 DNA, chromosome 1, complete sequence	3288558	6452	1	parahaemolyticus	GCA_000196095.1_ASM19609v1
BA000032.2	Vibrio parahaemolyticus RIMD 2210633 DNA, chromosome 2, complete sequence	1877212	3549	2	parahaemolyticus	GCA_000196095.1_ASM19609v1
